Наименование водного объекта;Код водного объекта_x;Наименование поста;Код поста;Расстояние от устья, км;Площадь водосбора, кв.км.;Высота, м;Система высот;ОТКРЫТИЕ;Закрыт;Принадлежность поста;Latitude;Longitude
Пинега;03020300312103000034650 / 103003465;р.Пинега - с.Кузомень;70336;59;39300;4.72;БС 77;14.06.1915;Действует;Северное УГМС;64.26;42.95
Кача;21010000212106300000530 / 106300053;р. Кача - с. Суворово;81581;10;525;19.6;БС;21.07.1915;Действует;Крымское УГМС;44.73;33.64
СЕЛЕМДЖА;20030400312118100033848 / 118103384;р.Селемджа - с.Стойба;6364;326;19600;339.66;БС 77;26.07.1915;Действует;Дальневосточное УГМС;52.78307;131.7254
Бол. Ик;12010000612112200005705 / 112200570;р.Большой Ик - с.Спасское;19382;54;6490;147.52;БС;28.07.1915;Действует;Приволжское УГМС;52;56.56
;;ВДХР СЕГОЗЕРСКОЕ - С.ПАДАНЫ;3900589;;7460;113.7;БС;02.08.1915;Действует;Северо-Западное УГМС;63.16;33.25
Бельбек;21010000212106300000670 / 106300067;р. Бельбек - с. Фруктовое;81593;6.5;493;9.8;БС;22.10.1915;Действует;Крымское УГМС;44.68;33.6
УФА;10010201212111100020106 / 111102010;р.Уфа - пгт Шакша;76380;35;52500;84.47;БС;01.01.1916;Действует;Башкирское УГМС;54.79033;56.229357
МОКША;09010200412110000026769 / 110002676;р.Мокша - пгт Кадом;75499;111;21600;87.92;БС;12.03.1916;Действует;Центральное УГМС;54.56;42.48
Кострома;08010300112110000011666 / 110001166;р.Кострома - д.Исады;75242;29;15700;79;БС;09.04.1916;Действует;Центральное УГМС;58.06;40.8
ТУНГУСКА;20030900112118100064931 / 118106493;р.Тунгуска - с.Архангеловка;5358;61;29400;29.24;БС;14.04.1916;Действует;Дальневосточное УГМС;48.69914;134.46202
Нерча;20030100412118100012629 / 118101262;р.Нерча - с.Кыкер;6184;219;13200;579.41;БС 77;14.04.1916;Действует;Забайкальское УГМС;53.16514;115.86677
ЛУГА;01030000512102000025583 / 102002558;Р.ЛУГA - СT.TOЛMAЧЁВO;72569;182;6350;30.9;БС;14.04.1916;Действует;Северо-Западное УГМС;58.86101;29.88369
СУНА;01040100212102000014812 / 102001481;Р.СУНA - ПГT ПOРOСOЗЕРO;48038;155;3370;162.75;БС;14.06.1916;Действует;Северо-Западное УГМС;62.70289;32.74211
ПЕЧОРА;03050300212103000057306 / 103005730;р. Печора - с.Оксино;70827;141;312000;-0.71;БС 77;14.09.1916;Действует;Северное УГМС;67.58934;52.17361
ДОН;05010500912107000000014 / 107000001;р.Дон - ст-ца Раздорская;78801;151;378000;1.21;БС;27.10.1916;Действует;Северо-Кавказское УГМС;47.53741;40.65035
Иловля;05010300412107000009256 / 107000925;р.Иловля - с.Александровка;78229;83;6520;50.5;БС 77;24.12.1916;Действует;Северо-Кавказское УГМС;49.5761;44.30319
МОСКВА;09010101512110000023004 / 110002300;р. Москва - г. Звенигород;75402;281;5000;132.89;БС;18.01.1917;Действует;Центральное УГМС;55.72755;36.85104
Вулан (Шамарева щель);06030000212109100000210 / 109100021;р.Вулан - к.п. Архипо-Осиповка;82010;2.4;265;-2.64;БС;24.01.1917;Действует;Северо-Кавказское УГМС;44.37526;38.5327
Исеть;14010501112111200002684 / 111200268;р. Исеть - с. Исетское;12129;105;56000;57.98;БС 77;22.06.1917;Действует;Обь-Иртышское УГМС;56.46551;65.34332
;;ОЗ. ЛАЧА - С. НОКОЛА;3800026;;12600;115.77;БС 77;25.07.1917;Действует;Северное УГМС;61.21;38.93
Мая (Майя);18030600512117300022262 / 117302226;р.Мая - пос.Нелькан;3268;546;41500;291.92;БС;28.08.1917;Действует;Дальневосточное УГМС;57.64;136.15
ЕНИСЕЙ;17010400212116100000014 / 116100001;р.Енисей - Осиновский Порог;9090;1610;1520000;28.31;БС;23.11.1917;Действует;Среднесибирское УГМС;61.41;89.78
ТОМЬ;13010300412115200007313 / 115200731;Р.ТОМЬ - Г.ТОМСК;10252;68;57800;69.29;БС 77;14.01.1918;Действует;Западно-Сибирское УГМС;56.4927;84.941
Р.ОБША;01020000312199000000021 / 105000111;р.Обша - г.Белый;73196;47;1590;173.92;БС;01.07.1918;Действует;Центральное УГМС;55.84163;32.93587
АЛДАН;18030600912117300000011 / 117300001;р.Алдан - с.Батамай;3230;1;729000;66.48;БС;17.07.1918;Действует;Якутское УГМС;63.51;129.48
Купа;18030100112117100005467 / 117100546;р.Купа - д.Мука;3076;42;2220;344.34;БС;28.07.1918;Действует;Иркутское УГМС;56.67286;104.64587
Тавда;14010502512111200008628 / 111200862;р. ТАВДА - г. ТАВДА;12413;237;81000;45.18;БС;05.08.1918;Действует;Уральское УГМС;58.03;65.31
Миус;05010501012106300003870 / 106300387;р.Миус - п Матвеев Курган;83063;65;5780;-1.53;БС 77;04.10.1918;Действует;Северо-Кавказское УГМС;47.55479;38.85876
Раздольная (Суйфун);20040000412118200010242 / 118201024;р.Раздольная - с.Тереховка;5600;71;15500;2.01;БС 77;01.12.1918;Действует;Приморское УГМС;43.64639;131.92256
ВИЛЮЙ;18030800312117400003664 / 117400366;р.Вилюй - с.Сунтар;3321;740;202000;109.47;БС 77;01.01.1919;Действует;Якутское УГМС;62.15;117.65
;;ОЗ.ИЛЬМЕНЬ - С.КОРОСТЫНЬ;3900152;;67200;15;БС;01.01.1919;Действует;Северо-Западное УГМС;58.18;31
ОБЬ;15020100112115300000010 / 115200001;р. Обь - д. Белогорье;10031;1152;2690000;14.07;БС;01.08.1919;Действует;Обь-Иртышское УГМС;61.06851;68.62401
р. Аксаут;06020000212108000002120 / 108100212;р.Аксаут - с.Хасаут-Греческое;83249;28;560;1117.15;БС;16.08.1919;Действует;Северо-Кавказское УГМС;43.71455;41.66707
Теберда;06020000112108000001760 / 108100176;р.Теберда - г.Теберда;83214;46;504;1304;БС;08.10.1919;Действует;Северо-Кавказское УГМС;43.44515;41.74357
Паша;01040100812102000013277 / 102001327;Р.ПAШA - С.ЧAСOВЕНСКOЕ;72156;51;5710;3.52;БС;27.12.1919;Действует;Северо-Западное УГМС;60.25;33.33
ТОСНА;01040300312102000008746 / 102000874;Р.TOСНA - СT.TOСНO;72043;36;1300;24.69;БС;21.01.1920;Действует;Северо-Западное УГМС;59.54097;30.8903
Лаба;06020000912108000003180 / 108100318;р.Лаба - х.Догужиев;83314;17;12000;36.95;БС;19.02.1920;Действует;Северо-Кавказское УГМС;45.15096;39.72943
Сакмара;12010000712112200004770 / 112200477;р.Сакмара - с.Татарская Каргала;19159;32;29600;86.97;БС;25.03.1920;Действует;Приволжское УГМС;51.95;55.18
