Наименование водного объекта;Код водного объекта_x;Наименование поста;Код поста;Расстояние от устья, км;Площадь водосбора, кв.км.;Высота, м;Система высот;ОТКРЫТИЕ;Закрыт;Принадлежность поста;Latitude;Longitude
;;ОЗ.МЮРЮ - С.БОРОГОНЦЫ;5100279;;121;125.4;БС;11.07.1968;Действует;Якутское УГМС;62.671375;131.16889
Дальняя;19080000112120000034972 / 120003497;р.Дальняя - с.Тигиль;2199;1;113;14;усл.;12.07.1968;Действует;Камчатское УГМС;57.75;158.68
КАРАСУЛЬ;14010300212115300011361 / 115301136;р. Карасуль - с. Стрехнино;11468;29;2500;71.82;БС 77;17.07.1968;Действует;Обь-Иртышское УГМС;56.98;69.55
;;ВДХР САРАТОВСКОЕ - Г. СЫЗРАНЬ;3500654;;1290000;25;БС;21.07.1968;Действует;Приволжское УГМС;53.15;48.57
Тумнин;20040000112118200000819 / 118200081;р.Тумнин - ст.Тулучи;5467;105;11300;101.21;БС 77;24.07.1968;Действует;Дальневосточное УГМС;49.8879;139.9589
Барзас (Барзасс);13010400312115200020363 / 115202036;Р.БАРЗАС - ПГТ БАРЗАС;10411;29;1060;167.08;БС;01.08.1968;Действует;Западно-Сибирское УГМС;55.7274;86.30049
;;ВДХР ВИЛЮЙСКОЕ - ОГП ТУОЙ-ХАЯ;5100051;;136000;233;БС;01.08.1968;Действует;Якутское УГМС;63.034729;112.468483
Вува;02010000312101000001868 / 101000186;р.Вува - устье;71077;2.2;982;91.17;БС 77;06.08.1968;Действует;Мурманское УГМС;68.08485;30.81284
Шелтозерка;01040100612102000013873 / 102001387;Р.ШЕЛTOЗЕРКA - С.ШЕЛTOЗЕРO;48002;2;64.6;44;БС;15.08.1968;Действует;Северо-Западное УГМС;61.37103;35.35717
ОМЬ;14010200112115300004626 / 115300462;р. Омь - г. Омск;11315;3.8;52400;66.22;БС 77;22.08.1968;Действует;Обь-Иртышское УГМС;55.01433;73.47402
Юганская Обь;13011100112099000000020 / 115205346;р. Обь, прот. Юганская Обь - г. Нефтеюганск;10028;1423;971000;22.5;БС 77;28.08.1968;Действует;Обь-Иртышское УГМС;61.03;72.61
Дымка (Рокша);01040300112102000018235 / 102001823;Р.ДЫMКA - Г.БOКСИTOГOРСК;72191;30.4;9.8;73.1;БС;29.08.1968;Действует;Северо-Западное УГМС;59.48;33.85
Сергевань;02010000712199000000010 / 101000417;р.Сергевань - 3 км от устья;71153;3;205;155.5;БС;10.09.1968;Действует;Мурманское УГМС;67.96575;35.00062
ЯЙВА;10010100912111100006997 / 111100699;р. ЯЙВА - с. УСТЬ - ИГУМ;76130;98;5700;116.16;БС;16.09.1968;Действует;Уральское УГМС;59.16339;57.1314
Большая Ерба;17010300312116100018642 / 116101864;р.Большая Ерба - с.Большая Ерба;9298;8;157;461.38;БС;20.09.1968;Действует;Среднесибирское УГМС;54.23467;90.62582
Юкспорйок;02020000312101000010492 / 101001049;р.Юкспорйок - г.Кировск;71277;1.8;33.3;316.76;БС;27.09.1968;Действует;Мурманское УГМС;67.64208;33.71162
НАЗЫМ;13011100212115200050840 / 115205098;р. Назым - с. Кышик;10511;36;11500;20.64;БС 77;30.09.1968;Действует;Обь-Иртышское УГМС;61.44593;68.93062
СОЛОВА;09010100312110000019304 / 110001930;р. Солова - д. Захаровка;75361;21;400;148.5;БС;11.10.1968;Действует;Центральное УГМС;53.95679;37.3931
Хамней (Барун-Хамней);16030000112116300007406 / 116300740;р.Хамней - Хамнейский мост;7064;1.2;3600;917.2;БС 77;01.11.1968;Действует;Забайкальское УГМС;50.43511;103.76478
Анавгай;19070000112120000015394 / 120001539;р.Анавгай - с.Анавгай;2062;0.9;1170;6.14;усл.;15.11.1968;Действует;Камчатское УГМС;56.06;158.7
Матросовка (Гилия, Гильге), рукав Немана;01010000112004300000247 / 104300024;р.Неман, рук.Mатросовка - д.Mостовое;74804;19;;-2;БС;17.12.1968;Действует;Северо-Западное УГМС;55.15;21.58
;;ОЗ.ШУГОЗЕРО - Д.УЛЬЯНИЦА;3900101;;98;73.39;БС;26.12.1968;Действует;Северо-Западное УГМС;59.95;34.2
Элегест;17010300112116100007808 / 116100780;р.Элегест - пгт Хову-Аксы;9138;89;1850;978.74;БС 77;01.01.1969;Действует;Среднесибирское УГМС;51.11;93.83
Буй;10010101112111100015970 / 111101597;р.Буй - д.Татарская Урада;76264;90;2740;78.12;БС;28.01.1969;Действует;Башкирское УГМС;56.3146;54.91548
ЕСАУЛОВКА;17010300512116100021008 / 116102100;р.Есауловка - д.Терентьево;9329;7;1460;133.71;БС 77;13.03.1969;Действует;Среднесибирское УГМС;56.08;93.26
Эдучанка;16010300112116200012842 / 116201284;р.Эдучанка - пос.Эдучанка;8256;22;1390;303.54;БС;28.03.1969;Действует;Иркутское УГМС;57.36895;102.14103
Малая Пигма (Пигмозерка);01040100612102000015549 / 102001554;Р.MAЛAЯ ПИГMA - С.УНИЦA;48056;0.5;166;38.06;БС;07.05.1969;Действует;Северо-Западное УГМС;62.6;34.46
;;ВДХР КРАСНОЯРСКОЕ - Р. П. ЛЕБЯЖЬЕ;2700279;;289000;225;БС;10.07.1969;Действует;Среднесибирское УГМС;54.2;91.58
Туим;13010400112199000000090 / 116116081;р.Туим - пгт Туим;9302;75;116;609.88;БС 77;16.07.1969;Действует;Среднесибирское УГМС;54.33831;89.9268
СЕВЕРКА;09010101812110000024416 / 110002441;р. Северка - с. Покровское;75453;38;792;110.7;БС;13.08.1969;Действует;Центральное УГМС;55.22139;38.2968
ЧЕРНЫЙ УРЮМ;20030100412118100017112 / 118101711;р.Чёрный Урюм - с. Сбега;6218;2.6;5040;460.33;БС 77;16.08.1969;Действует;Забайкальское УГМС;53.3171;118.49668
ЯНА;18040300212117700006264 / 117700626;р.Яна,дельта, протока Главное русло - п.Нижнеянск;3864;22;;0;усл.;01.09.1969;Действует;Якутское УГМС;71.35;136.08
Вычегда;03020200112103000013575 / 103001357;р. Вычегда - д.Пузла;70175;1005;1200;146.05;БС;10.09.1969;Действует;Северное УГМС;62.42017;54.6281
Рыбница;03050100212103000064327 / 103006432;р. Рыбница - пос.Талый;70459;16;183;84.81;БС;13.09.1969;Действует;Северное УГМС;64.61208;55.68136
Суундук (Суындык);12010000312112200002486 / 112200248;р.Суундук - пос.Майский;19118;69;4020;248.63;БС;01.10.1969;Действует;Приволжское УГМС;51.91;59.4
Айгамуга (Даргон-Ком, Сангути-Дон);07020000412108200003877 / 108200387;р.Айгамуга - с.Махческ;84186;3;218;0;усл.;01.10.1969;Действует;Северо-Кавказское УГМС;43.96;43.78
Лена (Большая Лена);18030100212117100000011 / 117100001;р.Лена - с.Макарово;3017;3237;90200;252.05;БС;07.10.1969;Действует;Иркутское УГМС;57.48;107.85
Маралиха (Бол. Маралиха);13010200312115100009723 / 115100972;Р.МАРАЛИХА - С.КУЙБЫШЕВО;10138;11;1100;277.14;БС;09.10.1969;Действует;Западно-Сибирское УГМС;51.58;82.96
р.СТЕБЕНЕВКА;10010100512199000000011 / 111104080;р. СТЕБЕНЕВКА - с. ПОЛДНЕВАЯ;76200;1.5;28.7;364.52;БС 77;10.10.1969;Действует;Уральское УГМС;56.29722;60.28446
Батыр;18030800212117400012169 / 117401216;р.Батыр - г.п.Ясный;3344;12;3380;248.36;БС;16.10.1969;Действует;Якутское УГМС;63.36;111.93
Павловка (Фудзин, Лифудзин);20030700212118100052124 / 118105212;р.Павловка - с.Антоновка;5132;44;2670;250.36;БС 77;11.11.1969;Действует;Приморское УГМС;44.36174;134.46286
Половинка;19070000212120000023176 / 120002317;р.Половинка - в 13.7км от устья;2106;14;29.5;311.24;абс.;20.11.1969;Действует;Камчатское УГМС;53.16;158.21
без названия;19070000212120000023336 / 120005631;руч.без названия - в 50м от устья;2108;0.1;2.16;319.86;абс.;20.11.1969;Действует;Камчатское УГМС;53.16;158.21
;;ВДХР КРАСНОЯРСКОЕ - ГМ.П. ВОЗНЕСЕНКА;2700323;;289000;225;БС;01.12.1969;Действует;Среднесибирское УГМС;55.43;92.43
Тапса;17010100112116100004605 / 116100460;р.Тапса - с.Кара-Хак;9122;4.5;1170;675.87;БС;01.01.1970;Действует;Среднесибирское УГМС;51.9;94.45
;;ВДХР КРАСНОЯРСКОЕ - ПГТ УСТЬ-АБАКАН;2700260;;289000;225;БС 77;10.01.1970;Действует;Среднесибирское УГМС;53.85;91.38
Отуз (Отузы);21010000512106300001450 / 106300145;р. Отуз - пгт Щебетовка;81694;3.6;58;51.87;БС;01.03.1970;Действует;Крымское УГМС;44.93;35.16
;;ВДХР СЕРЕБРЯНСКОЕ - ПОС. СЕРЕБРЯНСКИЙ;3100387;;8640;145;БС;10.03.1970;Действует;Мурманское УГМС;68.834448;35.576459
Онда (Анда, Стрельная, Шуовини);02020001312102000006277 / 102000627;Р.OНДA - ПOС.ЛOСOСИЙ ПOРOГ;49110;16;3360;87;БС;18.04.1970;Действует;Северо-Западное УГМС;63.87193;34.1387
;;ВДХР ХАНТАЙСКОЕ - ПГТ СНЕЖНОГОРСК;2700461;;29700;51.62;БС 77;22.04.1970;Действует;Среднесибирское УГМС;68.1;87.77
ЗЕЯ;20030400212118100022394 / 118102239;р.Зея - с.Овсянка;6544;621;84800;205;БС;21.05.1970;Действует;Дальневосточное УГМС;53.57528;126.90883
ЕНИСЕЙ;17010300212116100000014 / 116100001;р.Енисей - пгт Шушенское;9026;2962;185000;268;БС;31.05.1970;Действует;Среднесибирское УГМС;53.33;91.93
Шома-Я;15020200112115300027520 / 115302752;р. Шома-Я - изба Шома-Я;11551;23;468;17.19;БС 77;16.06.1970;Действует;Обь-Иртышское УГМС;63.64471;62.14544
БАСАНДАЙКА;13010300412115200012780 / 115201278;Р.БАСАНДАЙКА - Д.БАСАНДАЙКА;10301;2;402;80.28;БС;01.07.1970;Действует;Западно-Сибирское УГМС;56.25667;85.43213
Кордонка (Новый Терек), проток р. Терек;07020001612008200002595 / 108200259;Канал-Дельтовый - Каргалинский Гидроузел;84804;105;;-2;БС 77;01.07.1970;Действует;Северо-Кавказское УГМС;43.71;46.55
канал Суллу-Чубутла;07020001622308200002708 / 108200259;Канал-Суллу-Чубутла - Каргалинский Гидроузел;84805;105;;-2;БС 77;01.07.1970;Действует;Северо-Кавказское УГМС;43.71;46.55
Кордонка (Новый Терек), проток р. Терек;07020001612008200002595 / 108200259;Канал-Новотеречный - Каргалинский Гидроузел;84806;105;;-2;БС 77;01.07.1970;Действует;Северо-Кавказское УГМС;43.71;46.55
КАЗЫМ;15020100112115300020203 / 115302020;р. Казым - г. Белоярский;11535;84;29500;12.1;БС 77;03.07.1970;Действует;Обь-Иртышское УГМС;63.66;66.41
ОБЬ;15020100112115300000010 / 115200001;р. Обь - с. Полноват;10033;702;2730000;4.74;БС;05.07.1970;Действует;Обь-Иртышское УГМС;63.78;65.91
Андога;08010200212110000007906 / 110000790;р. Андога - с.Никольское;75190;27;2250;105.7;БС;09.09.1970;Действует;Северное УГМС;59.35306;37.16678
Кокша;13010100312115100007524 / 115100142;Р.КОКШИ - КРД КОКШИ;10059;0.4;472;437.74;БС 77;17.09.1970;Действует;Западно-Сибирское УГМС;51.57817;87.68958
Лисица (Бол. Лисица);13010600112115200026743 / 115202674;Р.ЛИСИЦА - ПОС.ЛИСИЦА;10461;41;7530;44;усл.;19.09.1970;Действует;Западно-Сибирское УГМС;58.98;85.1
УЙБАТ;17010300212116100015086 / 116101508;р.Уйбат - с.Усть-Бюр;9237;127;1080;584;БС;18.10.1970;Действует;Среднесибирское УГМС;53.81423;90.24296
АШКАДАР;10010200512111100018151 / 111101815;р.Ашкадар - д.Ново-Фёдоровка;76321;42;2090;142.43;БС;01.11.1970;Действует;Башкирское УГМС;53.40666;55.73829
БАЗАИХА;17010300512116100020803 / 116102080;р.Базаиха - пос.Базаиха;9323;3.6;994;150.54;БС 77;01.11.1970;Действует;Среднесибирское УГМС;55.96;92.81
Кеть (Бол. Кеть);13010600112115200024176 / 115202431;р.Кеть (Большая Кеть) - д.Комаровка;10449;1418;2260;167.81;БС 77;13.11.1970;Действует;Среднесибирское УГМС;57.6;91.9
Б.САЛЫМ;13011100212115200049660 / 115204980;р. Большой Салым - с. Лемпино;10509;15;12500;21.96;БС;22.11.1970;Действует;Обь-Иртышское УГМС;60.97585;71.25149
Иня (Нижняя);13010200612115200005288 / 115200528;Р.ИНЯ(НИЖНЯЯ) - Г.ТОГУЧИН;10218;169;13700;121.54;БС;09.12.1970;Действует;Западно-Сибирское УГМС;55.23;84.4
Урми;20030900112118100064948 / 118106494;р.Урми - с.Кукан(в 8.0 км выше устья р.Кукан);5365;215;8290;1.27;усл.;01.01.1971;Действует;Дальневосточное УГМС;49.11;133.5
Чеховка;20050000212118300007264 / 118300726;р. Чеховка - с. Чехов;4159;1.1;194;-0.37;БС;26.03.1971;Действует;Сахалинское УГМС;47.43363;142.00441
Омчук (Омчик, Омчак);19010100112119000006452 / 119000645;р.Омчак - р.п.Омчак;1127;33;151;824;БС;01.05.1971;Действует;Колымское УГМС;61.65675;147.86495
Чуркуо;18030800212117400008002 / 117400800;р.Чуркуо - г.п.Лавинда;3579;27;4130;243.82;БС;01.05.1971;Действует;Якутское УГМС;63.31;109.41
Одарка;20030700112118100054556 / 118105455;р.Одарка - с.Нововладимировка;5202;36;90.8;118.8;БС;01.06.1971;Действует;Приморское УГМС;44.60464;133.12572
Камчатка, Озёрная Камчатка;19070000112120000012690 / 120001269;р.Камчатка,Оёрная Камчатка - уроч.Бугры;2007;704;384;4.9;усл.;05.06.1971;Действует;Камчатское УГМС;54.08;157.86
;;ОЗ.ЯНТЫКОВО - Д.ЯНТЫК;3200190;;;52;усл.;04.07.1971;Действует;Обь-Иртышское УГМС;57.335468;65.851415
Южн. Мылва;03020200112103000014367 / 103001436;р. Южная Мылва - пос.Тимшер;70206;29;1310;118.08;БС;21.07.1971;Действует;Северное УГМС;61.8961;55.10874
Ежуга (Иожуга);03020300312103000038313 / 103003831;р.Ежуга - пос.Широкое;70351;50;1970;33.89;БС 77;21.07.1971;Действует;Северное УГМС;64.3;44.61
Анадырь;19050000212119000103602 / 119010360;р.Анадырь - с.Усть-Белая;1500;236;121000;5.38;БС;01.08.1971;Действует;Чукотское УГМС;65.84;173.5
Синяя;18030500112117200033129 / 117203312;р.Синяя - ГМС Тонгулах;3207;313;11600;175.68;БС;01.08.1971;Действует;Якутское УГМС;61.91;124.55
Обь;13011100112115200000019 / 115200001;р. Обь - г. Нижневартовск;10025;1711;853000;29.98;БС;01.09.1971;Действует;Обь-Иртышское УГМС;60.91;76.61
РАНОВА;09010102112110000025479 / 110002547;р.Ранова - с.Троица;75764;17;4430;90.6;БС;01.09.1971;Действует;Центральное УГМС;54.03;40.23
ЧАРЫШ;13010200312115100008801 / 115100880;Р.ЧАРЫШ - С.УСТЬ-КАМЫШЕНКА;10133;96;20000;150.33;БС;04.09.1971;Действует;Западно-Сибирское УГМС;52.05698;83.1838
Бада (Бол. Бада);16010100812116200011646 / 116201164;р.Бада - с.Покосное;8249;1.8;835;399;БС;15.10.1971;Действует;Иркутское УГМС;55.52252;101.06647
Кемчуг (Бол. Кемчуг);13010400212115200016497 / 115201661;р.Большой Кемчуг - с.Большой Кемчуг;10380;321;1480;45.5;усл.;27.10.1971;Действует;Среднесибирское УГМС;56.13;91.6
ОМЬ;14010200112115300004626 / 115300462;Р.ОМЬ - С.КРЕЩЕНКА;11306;956;6500;114.49;БС;15.11.1971;Действует;Западно-Сибирское УГМС;55.85964;80.04722
Волома (Сона);02020001112102000005951 / 102000595;Р.ВOЛOMA - Д.ВЕНГИГOРA;49103;35;1860;118.69;БС;18.11.1971;Действует;Северо-Западное УГМС;63.5483;33.06936
Судно (Вуоки);02020000812102000002895 / 102000289;Р.СУДНO - С.ВOКНAВOЛOК;49047;8.2;1160;101.66;БС;11.12.1971;Действует;Северо-Западное УГМС;64.95441;30.51036
Магаданка;19100000212119000141676 / 119014167;р.Магаданка - г.Магадан;1538;15;48.5;131.7;БС;29.12.1971;Действует;Колымское УГМС;59.56935;150.81115
Ясачная (в верховье Прав. Ясачная);19010100412119000032359 / 119003235;р.Ясачная - с.Нелемное;1578;80;32000;30;усл.;01.01.1972;Действует;Якутское УГМС;65.4;151.07
Вожма;02020001212102000005462 / 102000546;Р.ВOЖMA - ПOС.ВOЖMOЗЕРO;49094;29;595;141.51;БС;01.01.1972;Действует;Северо-Западное УГМС;63.3127;35.82277
;;ВДХР ВОРОНЕЖСКОЕ - Г. ВОРОНЕЖ;4900025;;21500;87.72;БС;31.03.1972;Действует;Центрально-Черноземное УГМС;51.539432;39.139143
Бадарма;16010300112116200015553 / 116201555;р.Бадарма - пос. Средняя Бадарма;8281;19;1990;305.9;БС;25.04.1972;Действует;Иркутское УГМС;57.74941;102.42575
Ичода;18030800212117400010685 / 117401068;р.Ичода - г.п.Майский;3625;22;2820;245.16;БС;19.05.1972;Действует;Якутское УГМС;61.91;111.21
Кульдур;20030600112118100050544 / 118105054;р.Кульдур - пос.Кульдур;5072;46;147;355.08;БС 77;01.06.1972;Действует;Дальневосточное УГМС;49.21686;131.62802
Кучук-Карасу (Биюк-Карасу, Малая Карасевка, Сухая Карасевка);21020000212106300002690 / 106300256;р. Биюк-Карасу - с. Карасевка;81748;84;7.1;213.65;БС;01.07.1972;Действует;Крымское УГМС;44.98;34.61
;;ВДХР ВЕСЕЛОВСКОЕ - Х. ДАЛЬНИЙ;4000158;;30500;9;БС;01.07.1972;Действует;Северо-Кавказское УГМС;47.13;41.18
Лосиха (Бол. Лосиха);13010200312115200001359 / 115200135;Р.БОЛЬШАЯ ЛОСИХА - С.КОСИХА;10168;107;435;176.64;БС;10.07.1972;Действует;Западно-Сибирское УГМС;53.37089;84.56439
ЕНИСЕЙ;17010300512116100000014 / 116100001;р.Енисей - пгт Стрелка;9074;2137;356000;74.43;БС;01.08.1972;Действует;Среднесибирское УГМС;58.08;93
Китат;13010400312115200020905 / 115202090;Р.КИТАТ - С.НОВОРОЖДЕСТВЕНКА;10416;28;2000;117.79;БС 77;12.08.1972;Действует;Западно-Сибирское УГМС;56.49302;86.01888
Весляна;10010100112111100001457 / 111100145;р. ВЕСЛЯНА - пос. ОНЫЛ;76072;36;6790;130.49;БС;03.09.1972;Действует;Уральское УГМС;60.41;53.68
Суерь;14010500412111200002449 / 111200244;р. СУЕРЬ - д. ВОЛОСНИКОВО;12620;40;10300;64.2;БС;09.09.1972;Действует;Уральское УГМС;55.94763;66.0416
Татош (Бол. Татош);13010500112115200022557 / 115202255;Р.БОЛЬШОЙ ТАТОШ - С.БОЛЬШОЙ ТАТОШ;10426;25;1140;67.25;БС 77;01.10.1972;Действует;Западно-Сибирское УГМС;57.60463;83.4676
ЛЮТОГА;20050000212118300006342 / 118300634;р. Лютога - с. Огоньки;4141;31;1270;18.58;БС;05.10.1972;Действует;Сахалинское УГМС;46.7763;142.40494
;;ОЗ.ЭЙК - С.ЭЙК;5100244;;163;299.69;БС 77;13.10.1972;Действует;Якутское УГМС;66.036593;117.388077
Агита;20030100412118100015217 / 118101521;р.Агита - с.Бухта;6197;16;1070;644.37;БС 77;15.10.1972;Действует;Забайкальское УГМС;52.928;116.81826
ГЖАТЬ;08010100312110000001098 / 110000109;р.Гжать - г.Гагарин;75041;80;418;181.6;БС;01.11.1972;Действует;Центральное УГМС;55.51;35.01
;;ВДХР КАМСКОЕ - Г. ЧЕРМОЗ;4500125;;168000;100;БС 77;01.12.1972;Действует;Уральское УГМС;58.778827;56.152296
Быстрая (Подгорная);20050000212118300006496 / 118300649;р. Быстрая - Анивский р/з;4148;2.2;275;23.82;БС;25.12.1972;Действует;Сахалинское УГМС;46.77992;142.37409
р.Охинка;20050000212110000082636 / 118301101;р. Охинка - г. Оха;4005;3.3;13.2;3.29;БС;01.01.1973;Действует;Сахалинское УГМС;53.57632;142.9261
КАН;17010300412116100021269 / 116102126;р.Кан - пос.Кан-Оклер;9333;482;4180;371.43;БС;01.01.1973;Действует;Среднесибирское УГМС;55.03;95.13
Сузун (Нижний Сузун);13010200512115200003728 / 115200375;Р.НИЖНИЙ СУЗУН - С.ШИПУНОВО;10198;67;681;165.17;БС;23.03.1973;Действует;Западно-Сибирское УГМС;53.98881;82.59271
КАЧА;17010300512116100020841 / 116102084;р.Кача - г.Красноярск;9326;2.35;1250;139.78;БС 77;01.04.1973;Действует;Среднесибирское УГМС;56.01;92.88
Ола;19100000212119000140570 / 119014057;р.Ола - р.п.Ола;1529;2.3;8570;3.44;абс.;01.05.1973;Действует;Колымское УГМС;59.57;151.27
Армань (в верховье Ахчан, Агчах, Артельный);19100000212119000141744 / 119014174;р.Армань - у моста;1551;5;7770;3.08;БС;01.05.1973;Действует;Колымское УГМС;59.68;150.17
;;ВДХР ВИЛЮЙСКОЕ - ПГТ ЧЕРНЫШЕВСКИЙ;5100094;;136000;233;БС;01.05.1973;Действует;Якутское УГМС;63.03;112.48
Моркока;18030800412117400018740 / 117401874;р.Моркока - ГМС Хабардино;3383;380;18600;223.47;БС;17.05.1973;Действует;Якутское УГМС;64.6;112.51
Кулешовка;20030700112118100054631 / 118105463;р.Кулешовка - с.Спасское;5199;1.5;322;83.31;БС 77;01.06.1973;Действует;Приморское УГМС;44.60266;132.81658
Хадама;16010200112116200027368 / 116202736;р.Хадама - пос.Хадама;8317;0.6;419;697.4;БС;01.07.1973;Действует;Иркутское УГМС;53.93467;98.82517
Юуванйоки (Юванъёки);01040300212102000010887 / 102001088;Р.ЮУВAН-ЙOКИ - ПГT ВЯРTСИЛЯ;72095;5.4;270;80.27;БС;06.07.1973;Действует;Северо-Западное УГМС;62.17847;30.70154
Воль (Выль, Волжемка);03020200112103000013803 / 103001380;р. Воль - д.Югыдтыдор;70205;102;894;151.21;БС;11.07.1973;Действует;Северное УГМС;62.66081;53.87571
Бол. Илеша (Илеша, Мал. Илеша, Бол. Илаша);03020300312103000035084 / 103003508;р.Большая Илеша - пос.Красное;70340;43;1620;114.56;БС 77;11.07.1973;Действует;Северное УГМС;62.47008;46.75436
Порос;13010300412115200012995 / 115201299;Р.ПОРОС - С.ЗОРКАЛЬЦЕВО;10305;16;316;82.31;БС 77;13.07.1973;Действует;Западно-Сибирское УГМС;56.52591;84.73224
Охтома;03020300312103000034865 / 103003486;р.Охтома - пос.Ламбас;70339;5.2;592;115.15;БС 77;21.07.1973;Действует;Северное УГМС;62.58047;45.92812
Малый Арбат;17010300212116100014416 / 116101441;р.Малый Арбат - с.Малые Арбаты;9223;1;137;422.46;БС 77;23.07.1973;Действует;Среднесибирское УГМС;52.71925;90.30074
ТРОМ-ЮГАН;13011100112115200042143 / 115204228;р. Тром-Юган - д. Русскинская;10497;267;8800;55.49;БС 77;01.08.1973;Действует;Обь-Иртышское УГМС;62.15738;73.60837
Ком;03020200112103000018839 / 103001883;р. Ком - пос.Ком;70227;12;339;126.37;БС;01.08.1973;Действует;Северное УГМС;60.27215;51.17217
;;ВДХР ВОТКИНСКОЕ - Г. ЧАЙКОВСКИЙ;4500318;;182000;80;БС;14.08.1973;Действует;Уральское УГМС;56.78;54.12
Лена (Большая Лена);18030100112117100000011 / 117100001;р.Лена - г.Усть-Кут(Закутье);3008;3468;58900;282.47;БС;20.08.1973;Действует;Иркутское УГМС;56.75998;105.68025
ТАЗ;15050000112115300063280 / 115306328;р. Таз - с. Толька;11579;726;44500;21;БС;22.08.1973;Действует;Обь-Иртышское УГМС;63.98;82.08
Малый Чохрак, сост. р. Чохрак;06020000712108100003786 / 108100378;р.Малый Чохрак - х.Красный Кут;83332;0.2;48.7;288.18;БС;10.09.1973;Действует;Северо-Кавказское УГМС;44.61005;40.5824
Крутая;19080000112120000035030 / 120003503;р.Крутая - с.Тигиль;2202;10;8.64;5.47;усл.;13.09.1973;Действует;Камчатское УГМС;57.78;158.65
Чем;13010200512115200004947 / 115200494;Р.ЧЕМ - С.МОСТЫ;10209;22;465;147.13;БС;27.09.1973;Действует;Западно-Сибирское УГМС;54.77346;83.85517
Вятка;10010300212111100029744 / 111102974;Р.ВЯТКА - Г.КИРС;76551;1077;4040;144.3;БС;15.10.1973;Действует;Верхне-Волжское УГМС;59.31;52.18
СУСУЯ;20050000112118300006077 / 118300607;р. Сусуя - с. Санаторное;4116;64;94.5;92.64;БС;19.10.1973;Действует;Сахалинское УГМС;47.10411;142.62058
Илань;17010300412116100022983 / 116102298;р.Илань - г.Канск;9344;6;463;207.31;БС 77;23.10.1973;Действует;Среднесибирское УГМС;56.23;95.75
Житница (Муйка);20050000212118300004171 / 118300417;р. Житница - с. Первомайск;4068;37;190;185.18;БС;25.10.1973;Действует;Сахалинское УГМС;49.94549;143.1423
Блудная;16030000312116300013214 / 116301321;р.Блудная - с.Энгорок;7104;95;1300;917.9;БС 77;28.10.1973;Действует;Забайкальское УГМС;50.97513;110.34704
ЧУЛЫМ;13010400212115200013824 / 115201391;р.Чулым - с.Новобирилюссы;10325;1007;38100;165.39;БС 77;01.01.1974;Действует;Среднесибирское УГМС;57.06;90.51
ВАЗУЗА;08010100312110000000923 / 110000092;р.Вазуза - с.Дугино;75033;97;734;183.9;БС;01.01.1974;Действует;Центральное УГМС;55.68752;34.19674
Бакчар (Бол. Бакчар);13010500112115200023004 / 115202300;Р.БАКЧАР - С.ПОЛЫНЯНКА;10430;204;2040;94.51;БС;01.02.1974;Действует;Западно-Сибирское УГМС;56.95775;82.49876
МАЛЫЙ ЕНИСЕЙ;17010200112116100004749 / 116100474;р.Малый Енисей - г.Кызыл;9127;2;58600;618.8;БС 77;01.04.1974;Действует;Среднесибирское УГМС;51.72154;94.48026
Чыалагас;18030500112117200029115 / 117202911;р.Чыалагас - с.Хоринцы;3203;2.5;52.3;46.5;усл.;01.05.1974;Действует;Якутское УГМС;60.66;121.53
ЧОНА;18030800212117400008873 / 117400887;р.Чона - г.п.Чона;3334;296;21000;244;БС;01.05.1974;Действует;Якутское УГМС;61.9;109.58
Корпи-Йоки;02020000412102000000444 / 102000044;Р.КOРПИ-ЙOКИ - ПOС. ПЯOЗЕРСКИЙ;49014;2.3;217;113.34;БС;13.05.1974;Действует;Северо-Западное УГМС;65.76582;31.05123
Карасук;13020000412115200052645 / 115205264;Р.КАРАСУК - С.ЧЕРНОВКА;10539;357;4210;134.9;БС;04.06.1974;Действует;Западно-Сибирское УГМС;54.15041;80.00081
ИШИМ;14010300212115300008071 / 115300807;р. Ишим - с. Абатское;11413;348;145000;60.77;БС 77;07.06.1974;Действует;Обь-Иртышское УГМС;56.28;70.46
Пиковка (Бол. Пиковка);13010600112115200027771 / 115202777;Р.БОЛЬШАЯ ПИКОВКА - ПОС.ДАЛЬНЕЕ;10464;77;900;69;БС;08.06.1974;Действует;Западно-Сибирское УГМС;58.72196;82.9313
ИРТЫШ;14010700112115300000027 / 115101057;р. Иртыш - пос. Сибирский;11059;117;1570000;19.47;БС;16.06.1974;Действует;Обь-Иртышское УГМС;61.96;69.9
;;ВДХР ВИЛЮЙСКОЕ - ОГП КУСАГАН;5100086;;136000;233;БС;28.06.1974;Действует;Якутское УГМС;62.95;111.7
Лена (Большая Лена);18030100412117100000011 / 117100001;р.Лена - пос.Визирный;3024;2838;176000;194.21;БС;01.07.1974;Действует;Иркутское УГМС;58.75;111.45
ЗЕЯ;20030400212118100022394 / 118102239;р.Зея - пос.Поляковский;6280;501;105000;182.62;БС;01.07.1974;Действует;Дальневосточное УГМС;52.98455;127.54361
Харлахта;16020000112116300021047 / 116302104;р.Харлахта - г.Байкальск;7171;1.5;14.8;497.47;БС;09.07.1974;Действует;Иркутское УГМС;51.51473;104.13825
Очер;10010101012111100014394 / 111101439;р. ОЧЕР - д. КАЗЫМОВО;76255;11;1190;94.48;БС;17.07.1974;Действует;Уральское УГМС;57.68645;55.10365
